Put/Call Ratio - 2020,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Equity,,,Index/Other,,,OCC Total,,,
Date,Calls,Puts,P/C Ratio,Calls,Puts,P/C Ratio,Calls,Puts,Total,P/C Ratio
22-Jan,"12,016,221","8,782,888",0.73,"1,112,065","1,263,069",1.14,"13,128,286","10,045,957","23,174,243",0.77
21-Jan,"12,885,589","9,747,039",0.76,"880,485","1,043,520",1.19,"13,766,074","10,790,559","24,556,633",0.78
17-Jan,"16,151,014","10,290,170",0.64,"1,662,768","1,216,257",0.73,"17,813,782","11,506,427","29,320,209",0.65
16-Jan,"13,441,657","9,451,599",0.7,"1,384,035","1,163,072",0.84,"14,825,692","10,614,671","25,440,363",0.72
15-Jan,"13,357,306","9,099,818",0.68,"996,130","1,103,174",1.11,"14,353,436","10,202,992","24,556,428",0.71
14-Jan,"13,043,309","8,532,582",0.65,"799,634","958,806",1.2,"13,842,943","9,491,388","23,334,331",0.69
13-Jan,"12,966,159","8,799,738",0.68,"902,526","998,461",1.11,"13,868,685","9,798,199","23,666,884",0.71
10-Jan,"12,672,887","9,505,148",0.75,"939,589","1,312,031",1.4,"13,612,476","10,817,179","24,429,655",0.79
9-Jan,"13,363,570","8,957,137",0.67,"1,165,182","994,962",0.85,"14,528,752","9,952,099","24,480,851",0.68
8-Jan,"15,653,627","9,474,092",0.61,"1,029,413","1,034,305",1,"16,683,040","10,508,397","27,191,437",0.63
7-Jan,"10,660,568","6,971,166",0.65,"628,760","756,457",1.2,"11,289,328","7,727,623","19,016,951",0.68
6-Jan,"10,710,635","7,610,242",0.71,"760,229","978,054",1.29,"11,470,864","8,588,296","20,059,160",0.75
3-Jan,"11,852,182","8,593,898",0.73,"875,777","1,188,620",1.36,"12,727,959","9,782,518","22,510,477",0.77
2-Jan,"12,552,366","7,877,737",0.63,"688,291","891,218",1.29,"13,240,657","8,768,955","22,009,612",0.66
